[2021-05-16 15:44:19.817] Starting up round ID 10.
 - -------------------------
[2021-05-16 16:34:52.367] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Chefe Paladino, na escuta?" (language: Galactic Common) (Brotherhood of Steel RnD Department (231, 209, 3))
[2021-05-16 16:35:03.161] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Sim sim" (language: Galactic Common) (Brotherhood of Steel (169, 225, 2))
[2021-05-16 16:35:08.866] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Star paladino ouvindo" (language: Galactic Common) (Brotherhood of Steel (169, 225, 2))
[2021-05-16 16:35:20.026] TCOMMS: kaduh/(Erika Miller) [Vault] (spans:  ) "Minha minuçao" (language: Galactic Common) (Tunnel (10, 219, 3))
[2021-05-16 16:36:04.537] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "O Chefe Paladino saiu do QG..." (language: Galactic Common) (Brotherhood of Steel Mining (221, 199, 3))
[2021-05-16 16:36:14.676] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Na escuta chefe paladino?" (language: Galactic Common) (Brotherhood of Steel Mining (221, 199, 3))
[2021-05-16 16:36:21.411] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Pera..o star ou o chefe mesmo?" (language: Galactic Common) (Brotherhood of Steel (123, 237, 2))
[2021-05-16 16:36:30.199] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Chefe, Head Paladin" (language: Galactic Common) (Brotherhood of Steel RnD Department (230, 198, 3))
[2021-05-16 16:36:34.786] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Não Star Paladin" (language: Galactic Common) (Brotherhood of Steel RnD Department (231, 199, 3))
[2021-05-16 16:36:52.808] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "O Seu supervisor, Joseph" (language: Galactic Common) (Brotherhood of Steel Operations Department (226, 231, 3))
[2021-05-16 16:36:58.127] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Ah" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 217, 3))
[2021-05-16 16:37:00.867] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Sim sim" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 217, 3))
