[2021-05-22 22:06:27.723] Starting up round ID 29.
 - -------------------------
[2021-05-22 22:39:20.409] TCOMMS: Darkrazor191/(Nero Vilontius) [Legion] (spans:  ) "Eu trouxe umas armas pra armory" (language: Galactic Common) (Legion (243, 27, 2))
[2021-05-22 22:39:34.266] TCOMMS: Darkrazor191/(Nero Vilontius) [Legion] (spans:  ) "Seria bom saber onde você esta" (language: Galactic Common) (Legion (243, 27, 2))
[2021-05-22 22:39:51.031] TCOMMS: alexalbright/(Darios Scalicius) [Legion] (spans:  ) "Estou limpando o subsolo" (language: Galactic Common) (Wasteland (245, 4, 4))
[2021-05-22 22:40:22.724] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Pegou as tecnologia?" (language: Galactic Common) (Brotherhood of Steel (131, 238, 2))
[2021-05-22 22:41:28.556] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Erika, poderá realizar a construção de outras máquinas caso queira." (language: Galactic Common) (Followers of the Apocalypse (83, 58, 2))
[2021-05-22 22:41:38.570] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Poderá ser para mineração ou também para a fazenda." (language: Galactic Common) (Followers of the Apocalypse (84, 56, 2))
[2021-05-22 22:44:03.687] TCOMMS: FidgetyBacchus/(Aster Crowley) [BOS] (spans:  ) "Testando, testando." (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (237, 247, 3))
[2021-05-22 22:44:23.410] TCOMMS: FidgetyBacchus/(Aster Crowley) [BOS] (spans:  ) "Star Knight Crowley se apresentando." (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (237, 247, 3))
[2021-05-22 22:46:04.589] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Rapid Construction Device eu já pesquisei mais não tá aparecendo pra fazer" (language: Galactic Common) (Brotherhood of Steel RnD Department (231, 206, 3))
[2021-05-22 22:50:11.459] TCOMMS: alexalbright/(Darios Scalicius) [Legion] (spans:  ) "Alem de voce, temos que na base?" (language: Galactic Common) (Legion (219, 45, 2))
