[2021-05-16 03:43:50.151] Starting up round ID 8.
 - -------------------------
[2021-05-16 04:26:40.722] TCOMMS: Baeiou/(Roderick Malkav) [BOS] (spans:  ) "Arquivos?" (language: Galactic Common) (Brotherhood of Steel RnD Department (230, 196, 3))
[2021-05-16 04:27:00.223] TCOMMS: Marco25555/(Nydia S. Highlands) [BOS] (spans:  ) "Sim?" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (221, 224, 3))
[2021-05-16 04:27:44.872] TCOMMS: Marco25555/(Nydia S. Highlands) [BOS] (spans:  ) "Onde esta?" (language: Galactic Common) (Brotherhood of Steel Operations Department (228, 230, 3))
[2021-05-16 04:27:51.967] TCOMMS: kaduh/(Tim Miller) [Common] (spans:  italics ) "Teste" (language: Galactic Common) (Wasteland (180, 180, 2))
[2021-05-16 04:28:04.911] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Desce para a area de pesquisa" (language: Galactic Common) (Brotherhood of Steel RnD Department (243, 198, 3))
[2021-05-16 04:28:12.558] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "E va para a direia proctor" (language: Galactic Common) (Brotherhood of Steel RnD Department (243, 198, 3))
[2021-05-16 04:29:21.573] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Base do alvo ao norte" (language: Galactic Common) (Wasteland (118, 81, 2))
[2021-05-16 04:29:28.394] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Repito base do alvo ao norte" (language: Galactic Common) (Wasteland (118, 81, 2))
[2021-05-16 04:29:35.400] TCOMMS: *no key*/(Raider) [Common] (spans:  yell ) "HURRY, HURRY, HURRY!!!" (language: Galactic Common) (Wasteland (240, 184, 2))
[2021-05-16 04:29:39.854] TCOMMS: Baeiou/(Roderick Malkav) [BOS] (spans:  ) "Head Paladin, na escuta?" (language: Galactic Common) (Brotherhood of Steel RnD Department (241, 200, 3))
[2021-05-16 04:29:48.465] TCOMMS: Baeiou/(Roderick Malkav) [BOS] (spans:  ) "Aparenta que o Proctor é um mutante." (language: Galactic Common) (Brotherhood of Steel RnD Department (241, 200, 3))
[2021-05-16 04:29:58.994] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Nao consgo fica a frente..terei que ir pelos tuneis pra pega o alvo" (language: Galactic Common) (Wasteland (118, 81, 2))
[2021-05-16 04:30:10.308] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Afirmativo, paladino." (language: Galactic Common) (Brotherhood of Steel RnD Department (243, 200, 3))
[2021-05-16 04:31:37.232] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Scribes, segundo o regurlamento do capitulo qualquer tecnologia de clonagem é proibida. Deixando bem claro." (language: Galactic Common) (Brotherhood of Steel RnD Department (244, 202, 3))
[2021-05-16 04:32:14.020] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Paladino, situação?" (language: Galactic Common) (Brotherhood of Steel Operations Department (224, 225, 3))
[2021-05-16 04:32:44.052] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Joseph, na escuta?" (language: Galactic Common) (Brotherhood of Steel (139, 237, 2))
[2021-05-16 04:32:57.393] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Ops" (language: Galactic Common) (Tunnel (184, 92, 3))
[2021-05-16 04:33:02.248] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Sim sim" (language: Galactic Common) (Tunnel (184, 92, 3))
[2021-05-16 04:33:02.596] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Situação?" (language: Galactic Common) (Brotherhood of Steel (166, 220, 2))
[2021-05-16 04:33:06.319] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Estou nos tuneis" (language: Galactic Common) (Tunnel (184, 92, 3))
[2021-05-16 04:33:09.623] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Esta tudo bem" (language: Galactic Common) (Tunnel (184, 92, 3))
[2021-05-16 04:33:13.830] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Certo" (language: Galactic Common) (Brotherhood of Steel (171, 221, 2))
[2021-05-16 04:33:17.693] TCOMMS: rerom/(Ringa Copas) [148.9] (spans:  ) "Alo ?" (language: Galactic Common) (Wasteland (168, 215, 2))
[2021-05-16 04:33:27.619] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Viu o alvo? Qual a decorrencia da missão?" (language: Galactic Common) (Brotherhood of Steel (170, 221, 2))
[2021-05-16 04:33:36.901] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "So tive contato com ghouls mais tudo normal..esse tunel é um labirindo sem fim" (language: Galactic Common) (Tunnel (184, 92, 3))
[2021-05-16 04:33:38.448] TCOMMS: rerom/(Ringa Copas) [148.9] (spans:  ) "Ah" (language: Galactic Common) (Wasteland (168, 215, 2))
[2021-05-16 04:33:59.061] TCOMMS: rerom/(Ringa Copas) [148.9] (spans:  ) "Nenhuma" (language: Galactic Common) (Wasteland (168, 215, 2))
[2021-05-16 04:34:10.101] TCOMMS: SondTheAnime/(Courier) [148.9] (spans:  ) "O que quer aqui?" (language: Galactic Common) (Brotherhood of Steel (166, 216, 2))
[2021-05-16 04:34:11.457] TCOMMS: rerom/(Ringa Copas) [148.9] (spans:  ) "Sou apenas um homen querendo um lugar para me abrigar" (language: Galactic Common) (Wasteland (168, 215, 2))
[2021-05-16 04:34:21.405] TCOMMS: SondTheAnime/(Courier) [148.9] (spans:  ) "Infelizmente aqui não da, amigo." (language: Galactic Common) (Brotherhood of Steel (166, 216, 2))
[2021-05-16 04:34:35.943] TCOMMS: SondTheAnime/(Courier) [148.9] (spans:  ) "Somos restritos a so pessoal da irmandade" (language: Galactic Common) (Brotherhood of Steel (166, 216, 2))
[2021-05-16 04:34:46.466] TCOMMS: rerom/(Ringa Copas) [148.9] (spans:  ) "Hm" (language: Galactic Common) (Wasteland (168, 215, 2))
[2021-05-16 04:35:01.127] TCOMMS: rerom/(Ringa Copas) [148.9] (spans:  ) "Seria possivel eu ser um da irmandade ?" (language: Galactic Common) (Wasteland (168, 215, 2))
[2021-05-16 04:36:10.574] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Chefe Paladin" (language: Galactic Common) (Brotherhood of Steel (165, 221, 2))
[2021-05-16 04:36:22.138] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Tem um Estranho no portão da base." (language: Galactic Common) (Brotherhood of Steel (165, 221, 2))
[2021-05-16 04:36:27.299] TCOMMS: dantesousa/(Dante Sousa) [BOS] (spans:  ) "Sim?" (language: Galactic Common) (Brotherhood of Steel RnD Department (235, 193, 3))
[2021-05-16 04:36:35.950] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Diz querer ser da irmandade" (language: Galactic Common) (Brotherhood of Steel (165, 221, 2))
